date,temperature,humidity,soilMoisture,Length,Growth,Fruit_Label
"Monday,-December-25-2023-01:58:06",27.1,86,36.61,80.34722222,1.16388889,Fruit 1
"Monday,-December-25-2023-02:58:06",26.7,86,37,81.51111111,1.16388889,Fruit 1
"Monday,-December-25-2023-03:58:06",26.2,86,35.53,82.675,1.16388889,Fruit 1
"Monday,-December-25-2023-04:58:06",27.1,85,36.97,83.83888889,1.16388889,Fruit 1
"Monday,-December-25-2023-05:58:06",26.7,85,36.24,85.00277778,1.16388889,Fruit 1
"Monday,-December-25-2023-06:58:06",26.2,86,35.63,86.16666667,1.16388889,Fruit 1
"Monday,-December-25-2023-07:58:05",26.7,85,35.26,87.33055556,1.16388889,Fruit 1
"Monday,-December-25-2023-08:58:06",28,83,33.26,88.49444444,1.16388888,Fruit 1
"Monday,-December-25-2023-09:58:06",33.8,74,35.97,89.65833333,1.16388889,Fruit 1
"Monday,-December-25-2023-10:58:05",37.5,71,34.77,90.82222222,1.16388889,Fruit 1
"Monday,-December-25-2023-11:58:05",43,64,38.66,91.98611111,1.16388889,Fruit 1
"Monday,-December-25-2023-12:58:05",60.1,28,40.15,93.15,1.16388889,Fruit 1
"Monday,-December-25-2023-13:58:04",60.1,30,38.34,94.19166667,1.04166667,Fruit 1
"Monday,-December-25-2023-14:58:04",50.7,43,34.48,95.23333333,1.04166666,Fruit 1
"Monday,-December-25-2023-15:58:04",60.8,33,36.83,96.275,1.04166667,Fruit 1
"Monday,-December-25-2023-16:58:03",60.1,37,33.99,97.31666667,1.04166667,Fruit 1
"Monday,-December-25-2023-17:58:04",43.9,66,34.48,98.35833333,1.04166666,Fruit 1
"Monday,-December-25-2023-18:58:04",35.6,76,33.97,99.4,1.04166667,Fruit 1
"Monday,-December-25-2023-19:58:03",31.3,79,38.29,100.2666667,0.8666667,Fruit 1
"Monday,-December-25-2023-20:58:03",28.9,80,36.92,101.1333333,0.8666666,Fruit 1
"Monday,-December-25-2023-21:58:03",28.9,78,38.1,102,0.8666667,Fruit 1
"Monday,-December-25-2023-22:58:02",28.1,77,36.92,102.8666667,0.8666667,Fruit 1
"Monday,-December-25-2023-23:58:03",27.6,78,36.8,103.7333333,0.8666666,Fruit 1
"Tuesday,-December-26-2023-00:58:03",27.6,77,36.14,104.6,0.8666667,Fruit 1
"Tuesday,-December-26-2023-01:58:02",27.6,78,36.31,105.4666667,0.8666667,Fruit 1
"Tuesday,-December-26-2023-02:58:02",27.7,77,36.09,106.3333333,0.8666666,Fruit 1
"Tuesday,-December-26-2023-03:58:02",27.6,78,36,107.2,0.8666667,Fruit 1
"Tuesday,-December-26-2023-04:58:01",27.2,78,35.53,108.0666667,0.8666667,Fruit 1
"Tuesday,-December-26-2023-05:58:01",27.6,77,35.75,108.9333333,0.8666666,Fruit 1
"Tuesday,-December-26-2023-06:58:01",27.6,77,36.29,109.8,0.8666667,Fruit 1
"Tuesday,-December-26-2023-07:58:01",26.7,78,35.41,110.6666667,0.8666667,Fruit 1
"Tuesday,-December-26-2023-08:58:01",28,75,35.29,111.5333333,0.8666666,Fruit 1
"Tuesday,-December-26-2023-09:58:01",32.4,70,32.8,112.4,0.8666667,Fruit 1
"Tuesday,-December-26-2023-11:11:31",41.6,55,34.53,113.74,1.34,Fruit 1
"Tuesday,-December-26-2023-12:11:31",48.2,46,33.33,115.08,1.34,Fruit 1
"Tuesday,-December-26-2023-13:11:32",48.3,49,31.4,116.42,1.34,Fruit 1
"Tuesday,-December-26-2023-14:11:33",60.1,27,34.63,117.76,1.34,Fruit 1
"Tuesday,-December-26-2023-15:11:34",55,45,36,119.1,1.34,Fruit 1
"Tuesday,-December-26-2023-16:11:30",49.8,49,34.51,119.1,0,Fruit 1
"Tuesday,-December-26-2023-17:11:29",38,68,34.53,119.1,0,Fruit 1
"Wednesday,-December-20-2023-09:50:07",28,86,37.14,23.3,0,Fruit 2
"Wednesday,-December-20-2023-10:50:07",29.3,85,39.07,23.62,0.32,Fruit 2
"Wednesday,-December-20-2023-11:50:07",30.3,87,38.22,23.94,0.32,Fruit 2
"Wednesday,-December-20-2023-12:50:06",60.1,30,40,24.26,0.32,Fruit 2
"Wednesday,-December-20-2023-13:50:06",45.8,67,39.98,24.58,0.32,Fruit 2
"Wednesday,-December-20-2023-14:50:06",44.9,66,39.41,24.9,0.32,Fruit 2
"Wednesday,-December-20-2023-15:50:06",46.2,66,42.17,25.4875,0.5875,Fruit 2
"Wednesday,-December-20-2023-16:50:06",41.1,72,39.17,26.075,0.5875,Fruit 2
"Wednesday,-December-20-2023-17:50:06",41.1,75,37.9,26.6625,0.5875,Fruit 2
"Wednesday,-December-20-2023-18:50:06",33.3,86,42.05,27.25,0.5875,Fruit 2
"Wednesday,-December-20-2023-19:50:05",30.2,89,38.39,27.54,0.29,Fruit 2
"Wednesday,-December-20-2023-20:50:05",28,91,37.9,27.83,0.29,Fruit 2
"Wednesday,-December-20-2023-21:50:05",28,92,36.58,28.12,0.29,Fruit 2
"Wednesday,-December-20-2023-22:50:05",28,92,36.36,28.41,0.29,Fruit 2
"Wednesday,-December-20-2023-23:50:05",27.1,93,36.92,28.7,0.29,Fruit 2
"Thursday,-December-21-2023-00:50:04",26.7,93,35.26,28.99,0.29,Fruit 2
"Thursday,-December-21-2023-01:50:04",26.7,93,35.19,29.28,0.29,Fruit 2
"Thursday,-December-21-2023-02:50:05",26,91,35.95,29.57,0.29,Fruit 2
"Thursday,-December-21-2023-03:50:04",25.8,91,35.32,29.86,0.29,Fruit 2
"Thursday,-December-21-2023-04:50:05",25.3,91,34.61,30.15,0.29,Fruit 2
"Thursday,-December-21-2023-05:50:06",25.3,91,34.8,30.44,0.29,Fruit 2
"Thursday,-December-21-2023-06:50:07",24.8,91,34.61,30.73,0.29,Fruit 2
"Thursday,-December-21-2023-07:50:08",24.5,90,34.24,31.02,0.29,Fruit 2
"Thursday,-December-21-2023-08:50:09",25.3,89,33.73,31.31,0.29,Fruit 2
"Thursday,-December-21-2023-09:50:10",28,86,34.14,31.6,0.29,Fruit 2
"Thursday,-December-21-2023-10:50:11",29.3,85,36.07,32.96,1.36,Fruit 2
"Thursday,-December-21-2023-11:50:12",30.3,87,35.22,34.32,1.36,Fruit 2
"Thursday,-December-21-2023-12:50:13",60.1,30,37,35.68,1.36,Fruit 2
"Thursday,-December-21-2023-13:58:22",59.5,22,41.78,37.04,1.36,Fruit 2
"Thursday,-December-21-2023-14:58:03",48.1,63,41.17,38.4,1.36,Fruit 2
"Thursday,-December-21-2023-15:58:03",55.1,47,40.56,39.275,0.875,Fruit 2
"Thursday,-December-21-2023-16:58:03",41.1,72,39.17,40.15,0.875,Fruit 2
"Thursday,-December-21-2023-17:58:03",40.5,66,39.27,41.025,0.875,Fruit 2
"Thursday,-December-21-2023-18:57:44",36.9,71,38.39,41.9,0.875,Fruit 2
"Thursday,-December-21-2023-20:09:51",29.3,82,37.88,42.54666667,0.64666667,Fruit 2
"Thursday,-December-21-2023-21:09:51",28.3,83,37.61,43.19333333,0.64666666,Fruit 2
"Thursday,-December-21-2023-22:09:51",27.1,83,37.24,43.84,0.64666667,Fruit 2
"Thursday,-December-21-2023-23:09:50",26.7,82,36.19,44.48666667,0.64666667,Fruit 2
"Friday,-December-22-2023-00:09:50",26.2,82,36.02,45.13333333,0.64666666,Fruit 2
"Friday,-December-22-2023-01:09:50",25.3,81,35.31,45.78,0.64666667,Fruit 2
"Friday,-December-22-2023-02:09:49",25.3,82,35.58,46.42666667,0.64666667,Fruit 2
"Friday,-December-22-2023-03:09:49",25.3,81,34.82,47.07333333,0.64666666,Fruit 2
"Friday,-December-22-2023-04:09:49",25.2,82,35.92,47.72,0.64666667,Fruit 2
"Friday,-December-22-2023-05:09:49",24.9,82,34.6,48.36666667,0.64666667,Fruit 2
"Friday,-December-22-2023-06:09:49",24.8,82,34.77,49.01333333,0.64666666,Fruit 2
"Friday,-December-22-2023-07:09:49",24.5,83,34.51,49.66,0.64666667,Fruit 2
"Friday,-December-22-2023-08:09:48",24.5,83,34.36,50.30666667,0.64666667,Fruit 2
"Friday,-December-22-2023-09:09:48",26.2,80,34.33,50.95333333,0.64666666,Fruit 2
"Friday,-December-22-2023-10:09:48",27.6,80,33.92,51.6,0.64666667,Fruit 2
"Friday,-December-22-2023-11:09:48",30.8,75,31.75,52.1125,0.5125,Fruit 2
"Friday,-December-22-2023-12:09:48",41.6,62,33.11,52.625,0.5125,Fruit 2
"Friday,-December-22-2023-13:09:48",60.1,22,33.46,53.1375,0.5125,Fruit 2
"Friday,-December-22-2023-14:09:47",55.4,47,33.85,53.65,0.5125,Fruit 2
"Friday,-December-22-2023-15:09:47",50.5,56,33.99,55.2375,1.5875,Fruit 2
"Friday,-December-22-2023-16:09:47",53.7,51,34.92,56.825,1.5875,Fruit 2
"Friday,-December-22-2023-17:09:46",40.1,74,34.04,58.4125,1.5875,Fruit 2
"Friday,-December-22-2023-18:09:46",37.2,79,34.63,60,1.5875,Fruit 2
"Friday,-December-22-2023-19:09:46",31.9,83,34.31,60.98125,0.98125,Fruit 2
"Friday,-December-22-2023-20:09:46",30.2,83,33.97,61.9625,0.98125,Fruit 2
"Friday,-December-22-2023-21:09:46",29.3,84,33.09,62.94375,0.98125,Fruit 2
"Friday,-December-22-2023-22:09:46",28.9,82,32.92,63.925,0.98125,Fruit 2
"Friday,-December-22-2023-23:09:45",28.5,82,32.84,64.90625,0.98125,Fruit 2
"Saturday,-December-23-2023-00:09:45",28,81,32.48,65.8875,0.98125,Fruit 2
"Saturday,-December-23-2023-01:09:45",27.6,82,32.14,66.86875,0.98125,Fruit 2
"Saturday,-December-23-2023-02:09:45",27.2,81,32.82,67.85,0.98125,Fruit 2
"Saturday,-December-23-2023-03:09:45",27.6,81,32.45,68.83125,0.98125,Fruit 2
"Saturday,-December-23-2023-04:09:45",27.1,81,33.02,69.8125,0.98125,Fruit 2
"Saturday,-December-23-2023-05:09:44",27.6,81,31.48,70.79375,0.98125,Fruit 2
"Saturday,-December-23-2023-06:09:44",27.1,81,31.53,71.775,0.98125,Fruit 2
"Saturday,-December-23-2023-07:09:44",27.1,81,31.7,72.75625,0.98125,Fruit 2
"Saturday,-December-23-2023-08:09:43",26.7,81,31.62,73.7375,0.98125,Fruit 2
"Saturday,-December-23-2023-09:09:43",29,77,31.4,74.71875,0.98125,Fruit 2
"Saturday,-December-23-2023-10:09:44",30.2,76,31.6,75.7,0.98125,Fruit 2
"Saturday,-December-23-2023-11:09:43",35.2,69,31.65,76.425,0.725,Fruit 2
"Saturday,-December-23-2023-12:09:43",40.6,66,32.16,77.15,0.725,Fruit 2
"Saturday,-December-23-2023-13:09:43",45.3,61,31.7,77.875,0.725,Fruit 2
"Saturday,-December-23-2023-14:09:42",35.6,77,31.55,78.6,0.725,Fruit 2
"Saturday,-December-23-2023-15:09:42",44.5,61,32.38,79.12,0.52,Fruit 2
"Saturday,-December-23-2023-16:09:42",41.1,67,32.09,79.64,0.52,Fruit 2
"Saturday,-December-23-2023-17:09:42",34.7,77,32.67,80.16,0.52,Fruit 2
"Saturday,-December-23-2023-18:09:42",33.8,76,31.79,80.68,0.52,Fruit 2
"Saturday,-December-23-2023-19:09:42",31.3,79,32.84,81.2,0.52,Fruit 2
"Saturday,-December-23-2023-20:10:34",29.8,84,39.05,82.175,0.975,Fruit 2
"Saturday,-December-23-2023-21:10:34",28.5,83,37.9,83.15,0.975,Fruit 2
"Saturday,-December-23-2023-22:10:34",28,84,36.97,84.125,0.975,Fruit 2
